Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/04/1980 00:00,18464,,,,,
01/05/1980 00:00,18464,,,,,
01/06/1980 00:00,18464,,,,,
01/07/1980 00:00,19213,,,,,
01/08/1980 00:00,19213,,,,,
01/09/1980 00:00,19213,,,,,
01/10/1980 00:00,19250,,,,,
01/11/1980 00:00,19250,,,,,
01/12/1980 00:00,19250,,,,,
01/01/1981 00:00,19288,,,,,
01/02/1981 00:00,19288,,,,,
01/03/1981 00:00,19288,,,,,
01/04/1981 00:00,19811,,,,,
01/05/1981 00:00,19811,,,,,
01/06/1981 00:00,19811,,,,,
01/07/1981 00:00,20129,,,,,
01/08/1981 00:00,20129,,,,,
01/09/1981 00:00,20129,,,,,
01/10/1981 00:00,19737,,,,,
01/11/1981 00:00,19737,,,,,
01/12/1981 00:00,19737,,,,,
01/01/1982 00:00,19250,,,,,
01/02/1982 00:00,19250,,,,,
01/03/1982 00:00,19250,,,,,
01/04/1982 00:00,20092,,,,,
01/05/1982 00:00,20092,,,,,
01/06/1982 00:00,20092,,,,,
01/07/1982 00:00,20597,,,,,
01/08/1982 00:00,20597,,,,,
01/09/1982 00:00,20597,,,,,
01/10/1982 00:00,20896,,,,,
01/11/1982 00:00,20896,,,,,
01/12/1982 00:00,20896,,,,,
01/01/1983 00:00,21514,,,,,
01/02/1983 00:00,21514,,,,,
01/03/1983 00:00,21514,,,,,
01/04/1983 00:00,22262,,,,,
01/05/1983 00:00,22262,,,,,
01/06/1983 00:00,22262,,,,,
01/07/1983 00:00,23197,,,,,
01/08/1983 00:00,23197,,,,,
01/09/1983 00:00,23197,,,,,
01/10/1983 00:00,23385,,,,,
01/11/1983 00:00,23385,,,,,
01/12/1983 00:00,23385,,,,,
01/01/1984 00:00,23572,,,,,
01/02/1984 00:00,23572,,,,,
01/03/1984 00:00,23572,,,,,
01/04/1984 00:00,24320,,,,,
01/05/1984 00:00,24320,,,,,
01/06/1984 00:00,24320,,,,,
01/07/1984 00:00,25255,,,,,
01/08/1984 00:00,25255,,,,,
01/09/1984 00:00,25255,,,,,
01/10/1984 00:00,25629,,,,,
01/11/1984 00:00,25629,,,,,
01/12/1984 00:00,25629,,,,,
01/01/1985 00:00,25629,,,,,
01/02/1985 00:00,25629,,,,,
01/03/1985 00:00,25629,,,,,
01/04/1985 00:00,26565,,,,,
01/05/1985 00:00,26565,,,,,
01/06/1985 00:00,26565,,,,,
01/07/1985 00:00,27126,,,,,
01/08/1985 00:00,27126,,,,,
01/09/1985 00:00,27126,,,,,
01/10/1985 00:00,28061,,,,,
01/11/1985 00:00,28061,,,,,
01/12/1985 00:00,28061,,,,,
01/01/1986 00:00,28623,,,,,
01/02/1986 00:00,28623,,,,,
01/03/1986 00:00,28623,,,,,
01/04/1986 00:00,29932,,,,,
01/05/1986 00:00,29932,,,,,
01/06/1986 00:00,29932,,,,,
01/07/1986 00:00,31242,,,,,
01/08/1986 00:00,31242,,,,,
01/09/1986 00:00,31242,,,,,
01/10/1986 00:00,32177,,,,,
01/11/1986 00:00,32177,,,,,
01/12/1986 00:00,32177,,,,,
01/01/1987 00:00,33113,,,,,
01/02/1987 00:00,33113,,,,,
01/03/1987 00:00,33113,,,,,
01/04/1987 00:00,34609,,,,,
01/05/1987 00:00,34609,,,,,
01/06/1987 00:00,34609,,,,,
01/07/1987 00:00,36293,,,,,
01/08/1987 00:00,36293,,,,,
01/09/1987 00:00,36293,,,,,
01/10/1987 00:00,38442,,,,,
01/11/1987 00:00,38442,,,,,
01/12/1987 00:00,38442,,,,,
01/01/1988 00:00,40055,,,,,
01/02/1988 00:00,40055,,,,,
01/03/1988 00:00,40055,,,,,
01/04/1988 00:00,42475,,,,,
01/05/1988 00:00,42475,,,,,
01/06/1988 00:00,42475,,,,,
01/07/1988 00:00,48120,,,,,
01/08/1988 00:00,48120,,,,,
01/09/1988 00:00,48120,,,,,
01/10/1988 00:00,51077,,,,,
01/11/1988 00:00,51077,,,,,
01/12/1988 00:00,51077,,,,,
01/01/1989 00:00,52152,,,,,
01/02/1989 00:00,52152,,,,,
01/03/1989 00:00,52152,,,,,
01/04/1989 00:00,54034,,,,,
01/05/1989 00:00,54034,,,,,
01/06/1989 00:00,54034,,,,,
01/07/1989 00:00,55916,,,,,
01/08/1989 00:00,55916,,,,,
01/09/1989 00:00,55916,,,,,
01/10/1989 00:00,54841,,,,,
01/11/1989 00:00,54841,,,,,
01/12/1989 00:00,54841,,,,,
01/01/1990 00:00,53658,,,,,
01/02/1990 00:00,53658,,,,,
01/03/1990 00:00,53658,,,,,
01/04/1990 00:00,53176,,,,,
01/05/1990 00:00,53176,,,,,
01/06/1990 00:00,53176,,,,,
01/07/1990 00:00,54141,,,,,
01/08/1990 00:00,54141,,,,,
01/09/1990 00:00,54141,,,,,
01/10/1990 00:00,53337,,,,,
01/11/1990 00:00,53337,,,,,
01/12/1990 00:00,53337,,,,,
01/01/1991 00:00,52586,,,,,
01/02/1991 00:00,52586,,,,,
01/03/1991 00:00,52586,,,,,
01/04/1991 00:00,52372,,,,,
01/05/1991 00:00,52372,,,,,
01/06/1991 00:00,52372,,,,,
01/07/1991 00:00,53390,,,,,
01/08/1991 00:00,53390,,,,,
01/09/1991 00:00,53390,,,,,
01/10/1991 00:00,52908,,,,,
01/11/1991 00:00,52908,,,,,
01/12/1991 00:00,52908,,,,,
01/01/1992 00:00,52050,,,,,
01/02/1992 00:00,52050,,,,,
01/03/1992 00:00,52050,,,,,
01/04/1992 00:00,50817,,,,,
01/05/1992 00:00,50817,,,,,
01/06/1992 00:00,50817,,,,,
01/07/1992 00:00,50967,,,,,
01/08/1992 00:00,50967,,,,,
01/09/1992 00:00,50967,,,,,
01/10/1992 00:00,49018,,,,,
01/11/1992 00:00,49018,,,,,
01/12/1992 00:00,49018,,,,,
01/01/1993 00:00,49268,,,,,
01/02/1993 00:00,49268,,,,,
01/03/1993 00:00,49268,,,,,
01/04/1993 00:00,49668,,,,,
01/05/1993 00:00,49668,,,,,
01/06/1993 00:00,49668,,,,,
01/07/1993 00:00,50717,,,,,
01/08/1993 00:00,50717,,,,,
01/09/1993 00:00,50717,,,,,
01/10/1993 00:00,49768,,,,,
01/11/1993 00:00,49768,,,,,
01/12/1993 00:00,49768,,,,,
01/01/1994 00:00,50317,,,,,
01/02/1994 00:00,50317,,,,,
01/03/1994 00:00,50317,,,,,
01/04/1994 00:00,51017,,,,,
01/05/1994 00:00,51017,,,,,
01/06/1994 00:00,51017,,,,,
01/07/1994 00:00,51866,,,,,
01/08/1994 00:00,51866,,,,,
01/09/1994 00:00,51866,,,,,
01/10/1994 00:00,51517,,,,,
01/11/1994 00:00,51517,,,,,
01/12/1994 00:00,51517,,,,,
01/01/1995 00:00,51067,,,,,
01/02/1995 00:00,51067,,,,,
01/03/1995 00:00,51067,,,,,
01/04/1995 00:00,51617,,,,,
01/05/1995 00:00,51617,,,,,
01/06/1995 00:00,51617,,,,,
01/07/1995 00:00,52066,,,,,
01/08/1995 00:00,52066,,,,,
01/09/1995 00:00,52066,,,,,
01/10/1995 00:00,51367,,,,,
01/11/1995 00:00,51367,,,,,
01/12/1995 00:00,51367,,,,,
01/01/1996 00:00,52116,,,,,
01/02/1996 00:00,52116,,,,,
01/03/1996 00:00,52116,,,,,
01/04/1996 00:00,52166,,,,,
01/05/1996 00:00,52166,,,,,
01/06/1996 00:00,52166,,,,,
01/07/1996 00:00,54215,,,,,
01/08/1996 00:00,54215,,,,,
01/09/1996 00:00,54215,,,,,
01/10/1996 00:00,55164,,,,,
01/11/1996 00:00,55164,,,,,
01/12/1996 00:00,55164,,,,,
01/01/1997 00:00,55914,,,,,
01/02/1997 00:00,55914,,,,,
01/03/1997 00:00,55914,,,,,
01/04/1997 00:00,57063,,,,,
01/05/1997 00:00,57063,,,,,
01/06/1997 00:00,57063,,,,,
01/07/1997 00:00,59961,,,,,
01/08/1997 00:00,59961,,,,,
01/09/1997 00:00,59961,,,,,
01/10/1997 00:00,59511,,,,,
01/11/1997 00:00,59511,,,,,
01/12/1997 00:00,59511,,,,,
01/01/1998 00:00,61010,,,,,
01/02/1998 00:00,61010,,,,,
01/03/1998 00:00,61010,,,,,
01/04/1998 00:00,64258,,,,,
01/05/1998 00:00,64258,,,,,
01/06/1998 00:00,64258,,,,,
01/07/1998 00:00,67057,,,,,
01/08/1998 00:00,67057,,,,,
01/09/1998 00:00,67057,,,,,
01/10/1998 00:00,66757,,,,,
01/11/1998 00:00,66757,,,,,
01/12/1998 00:00,66757,,,,,
01/01/1999 00:00,67157,,,,,
01/02/1999 00:00,67157,,,,,
01/03/1999 00:00,67157,,,,,
01/04/1999 00:00,70005,,,,,
01/05/1999 00:00,70005,,,,,
01/06/1999 00:00,70005,,,,,
01/07/1999 00:00,74102,,,,,
01/08/1999 00:00,74102,,,,,
01/09/1999 00:00,74102,,,,,
01/10/1999 00:00,76001,,,,,
